"incorrect: “法院判断了”";"fǎyuàn pànduàn le";"incorrect: “法院判断了”";"correct: “法院判了”";"fǎyuàn pàn le";"Explanation";"The verb 判断 (pànduàn) means 'to judge' or 'to determine,' but in the context of a court's official ruling or sentence, the verb 判 (pàn) is more specific and standard. '法院判了' is the idiomatic way to say 'the court has ruled/sentenced.'";"origin";"Min"
"incorrect: “我需要休息我的车”";"wǒ xūyào xiūxi wǒ de chē";"incorrect: “我需要休息我的车”";"correct: “我需要修理我的车”";"wǒ xūyào xiūlǐ wǒ de chē";"Explanation";"This is a vocabulary error. 休息 (xiūxi) means 'to rest,' while 修理 (xiūlǐ) means 'to repair' or 'to fix.' You repair an object, you don't 'rest' it.";"origin";"Min"
"incorrect: “洗手在哪里？”";"xǐshǒu zài nǎlǐ?";"incorrect: “洗手在哪里？”";"correct: “洗手池在哪里？”";"xǐshǒuchí zài nǎlǐ?";"Explanation";"洗手 (xǐshǒu) is a verb phrase meaning 'to wash hands.' You used it as a noun. The noun for a sink is 洗手池 (xǐshǒuchí).";"origin";"Min"
"incorrect: “下一个小时半”";"xià yīgè xiǎoshí bàn";"incorrect: “下一个小时半”";"correct: “一个半小时”";"yīgè bàn xiǎoshí";"Explanation";"This is a word order mistake for expressing duration. 'An hour and a half' is correctly stated as 一个半小时 (yīgè bàn xiǎoshí), not '下一个小时半'.";"origin";"Min"
"incorrect: “我信仰他”";"wǒ xìnyǎng tā";"incorrect: “我信仰他”";"correct: “我相信他”";"wǒ xiāngxìn tā";"Explanation";"信仰 (xìnyǎng) means 'faith' or 'creed' and is used for deep beliefs like religion. For believing or trusting a person, you should use 相信 (xiāngxìn).";"origin";"Min"
"incorrect: “把厕所拿出来”";"bǎ cèsuǒ ná chūlái";"incorrect: “把厕所拿出来”";"correct: “把盥洗用品拿出来”";"bǎ guànxǐ yòngpǐn ná chūlái";"Explanation";"This is a vocabulary error. 厕所 (cèsuǒ) is the word for 'toilet' or 'restroom.' The word for 'toiletries' is 盥洗用品 (guànxǐ yòngpǐn).";"origin";"Min"
"incorrect: “夏天放假”";"xiàtiān fàngjià";"incorrect: “夏天放假”";"correct: “暑假”";"shǔjià";"Explanation";"While your phrase is understandable, the specific noun for 'summer vacation' is 暑假 (shǔjià). It's more natural and correct.";"origin";"Min"
"incorrect: “性格故障”";"xìnggé gùzhàng";"incorrect: “性格故障”";"correct: “性格障碍”";"xìnggé zhàng'ài";"Explanation";"故障 (gùzhàng) means 'malfunction' and is used for machines. The correct term for a 'disorder' in a medical or psychological context is 障碍 (zhàng'ài). 'Personality disorder' is 性格障碍.";"origin";"Min"
"incorrect: “他是一个教书”";"tā shì yīgè jiāoshū";"incorrect: “他是一个教书”";"correct: “他是一位教授”";"tā shì yī wèi jiàoshòu";"Explanation";"教书 (jiāoshū) is a verb meaning 'to teach.' The noun for 'professor' is 教授 (jiàoshòu). You used a verb where a noun was needed.";"origin";"Min"
"incorrect: “刷头发”";"shuā tóufǎ";"incorrect: “刷头发”";"correct: “梳头发”";"shū tóufǎ";"Explanation";"The verb for brushing hair is 梳 (shū), not 刷 (shuā). 刷 is used for things like brushing teeth (刷牙) or scrubbing floors (刷地板).";"origin";"Min"
"incorrect: “具备房子”";"jùbèi fángzi";"incorrect: “具备房子”";"correct: “拥有房子”";"yǒngyǒu fángzi";"Explanation";"具备 (jùbèi) means 'to possess' or 'to be equipped with' qualities, skills, or conditions, not physical objects. For owning a physical object like a house, use 拥有 (yǒngyǒu).";"origin";"Min"
"incorrect: “我的梦想睡觉时间”";"wǒ de mèngxiǎng shuìjiào shíjiān";"incorrect: “我的梦想睡觉时间”";"correct: “我的理想睡觉时间”";"wǒ de lǐxiǎng shuìjiào shíjiān";"Explanation";"梦想 (mèngxiǎng) means 'dream' in the sense of a grand aspiration. For an 'ideal' or preferred situation, like a bedtime, the correct word is 理想 (lǐxiǎng).";"origin";"Min"
"incorrect: “见面一个美国人”";"jiànmiàn yīgè měiguó rén";"incorrect: “见面一个美国人”";"correct: “见一个美国人 / 和一个美国人见面”";"jiàn yīgè měiguó rén / hé yīgè měiguó rén jiànmiàn";"Explanation";"The verb 见面 (jiànmiàn) is intransitive and cannot take a direct object. You must either use the transitive verb 见 (jiàn) or use the pattern '跟/和 + person + 见面'.";"origin";"Min"
"incorrect: “我另外想说的句”";"wǒ lìngwài xiǎng shuō de jù";"incorrect: “我另外想说的句”";"correct: “我另外想说的是”";"wǒ lìngwài xiǎng shuō de shì";"Explanation";"This is a structural mistake. To say 'Another thing I want to say is...', the correct structure ends with 是 (shì). The character 句 (jù) for 'sentence' is not needed here.";"origin";"Min"
