20几个人	èrlíng jǐge rén	More than 20 people	Min
20个其他的人	èrlíng gè qítā de rén	20 other people	Min
4-5小时	4 - wǔ xiǎoshí	4-5 hours	Tracy
500亿	wǔlínglíng yì	50 billion	Min
50集	wǔlíng jí	50 episodes	Min
50个集-50集	wǔlíng gèjí - wǔlíng jí	50 sets-50 sets	Min
A变了	a biàn le	A has changed	Stromtium-isaac
A变成+noun	a biànchéng + noun	A becomes +noun	Stromtium-isaac
A改变B	a gǎibiàn b	A changes B	Stromtium-isaac
A变（得）+adj.	a biàn （ de ） + adj .	A becomes (gets) + adj.	Stromtium-isaac
E人 = 外向的人	e rén   =   wàixiàng de rén	E person = extrovert	Stromptium-Eva
E人/ 外向的人	e rén /   wàixiàng de rén	extrovert	Stromtium-isaac
I人 = 内向的人	i rén   =   nèixiàng de rén	I person = introvert	Stromptium-Eva
I人/ 内向的人	i rén /   nèixiàng de rén	introvert	Stromtium-isaac
T恤	txù	t-shirt	Stromtium-isaac
X以上	x yǐshàng	More than X	Stromtium-isaac
usb	usb	USB	Min
背	bèi	back	Stromtium-isaac
薄	bó	thin (e.g. a wall)	Stromptium-Eva
波	bō	wave (physics)	Stromtium-isaac
插	chā	insert, to plug	Stromtium-isaac
拆	chāi	dismantle	Stromtium-isaac
拆	chāi	to tear down	Stromptium-Eva
炒	chǎo	stir fry	Stromtium-isaac
粗	cū	thick	Stromptium-Eva
猜	cāi	Guess	Stromtium-isaac
蛋	dàn	egg (with a shell)	Stromptium-Eva
点	diǎn	to light (a candle, etc)	Stromptium-Eva
盾	dùn	shield	Stromptium-Eva
搭	dā	to cover (smth)	Stromptium-Eva
当	dāng	to do for work	Stromptium-Eva
发	fā	to send (texts/ photos/emails)	Stromtium-isaac
敢	gǎn	dare to, confident about doing smth	Stromptium-Eva
肝	gān	liver	Stromtium-isaac
梗	gěng	meme	Stromtium-isaac
梗	gěng	meme  (official translation)	Stromtium-isaac
糊	hú	paste/ porridge (european)	Stromtium-isaac
