唉	/alas/oh dear/
顿	/to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal/
多亏	/thanks to/luckily/
朵	/variant of 朵[duo3]/
发表	/to issue/to publish/
发达	/well-developed; flourishing/to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper/
发挥	/to display/to exhibit/to bring out implicit or innate qualities/to express (a thought or moral)/to develop (an idea)/to elaborate (on a theme)/
发票	/invoice; receipt; bill/uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])/
发言	/to make a speech/statement/utterance/CL:個|个[ge4]/
罚款	/to fine/penalty/fine (monetary)/
法院	/court of law/court/
繁荣	/prosperous; booming (economy)/
反而	/on the contrary; instead/
反应	/to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]/
反正	/anyway/in any case/to come over from the enemy's side/
范围	/range/scope/limit/extent/CL:個|个[ge4]/
方案	/plan/program (for action etc)/proposal/proposed bill/CL:個|个[ge4],套[tao4]/
方式	/way; manner; style; mode; pattern/CL:個|个[ge4]/
妨碍	/to hinder/to obstruct/
肥皂	/soap/CL:塊|块[kuai4],條|条[tiao2]/
分布	/to scatter/to distribute/to be distributed (over an area etc)/(statistical, geographic) distribution/
分手	/to part company/to split up/to break up/
风景	/scenery; landscape/CL:個|个[ge4]/
风险	/risk; hazard/
讽刺	/to satirize/to mock/irony/satire/sarcasm/
否认	/to declare to be untrue/to deny/
扶	/to support with the hand/to help sb up/to support oneself by holding onto something/to help/
复制	/to duplicate/to make a copy of/to copy/to reproduce/to clone/
改进	/to improve; to make better/improvement/CL:個|个[ge4]/
改正	/to correct/to amend/to put right/correction/CL:個|个[ge4]/
概括	/to summarize; to generalize/briefly; in broad outline/
感想	/impressions/reflections/thoughts/CL:通[tong4],個|个[ge4]/
赶快	/quickly; at once/
干活儿	/erhua variant of 幹活|干活[gan4 huo2]/
高级	/high level/high grade/advanced/high-ranking/
告别	/to leave; to part from/to bid farewell to; to say goodbye to/
隔壁	/next door/neighbor/
个人	/individual/personal/oneself/
各自	/each/respective/apiece/
根本	/fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]/
公开	/open; overt; public/to make public; to release/
公平	/fair/impartial/
公寓	/apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4])/
工厂	/factory/CL:家[jia1],座[zuo4]/
工具	/tool/instrument/utensil/means (to achieve a goal etc)/
工业	/industry/
功能	/function; capability/
沟通	/to join; to connect; to link up/to communicate/
姑娘	/girl/young woman/young lady/daughter/paternal aunt (old)/CL:個|个[ge4]/
古代	/ancient times/
鼓掌	/to applaud/to clap/
骨头	/bone/CL:根[gen1],塊|块[kuai4]/moral character/bitterness/Taiwan pr. [gu2 tou5]/
乖	/(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal/
怪不得	/no wonder!/so that's why!/
观察	/to observe; to watch; to survey/
观念	/notion/thought/concept/sense/views/ideology/general impressions/
冠军	/champion/CL:個|个[ge4]/
光滑	/glossy; sleek; smooth/
光明	/light/radiance/(fig.) bright (prospects etc)/openhearted/
广大	/(of an area) vast or extensive/large-scale/widespread/(of people) numerous/
规律	/rule (e.g. of science)/law of behavior/regular pattern/rhythm/discipline/
规则	/rule/regulation/rules and regulations/
滚	/to boil/to roll/to take a hike/Get lost!/
国庆节	/PRC National Day (October 1st)/
果实	/fruit (produced by a plant)/(fig.) fruits (of success etc)/results/gains/
过敏	/oversensitive/allergic/allergy/
海鲜	/seafood/
豪华	/luxurious/
好奇	/inquisitive/curious/inquisitiveness/curiosity/
何必	/there is no need/why should/
合法	/lawful/legitimate/legal/
合理	/rational; reasonable; sensible; fair/
合同	/(business) contract/CL:個|个[ge4]/
合作	/to cooperate; to collaborate; to work together/
恨	/to hate/to regret/
猴子	/monkey/CL:隻|只[zhi1]/
后背	/the back (human anatomy)/the back part of sth/
忽视	/to neglect; to overlook; to disregard; to ignore/
壶	/pot/classifier for bottled liquid/
胡说	/to talk nonsense/drivel/
糊涂	/muddled/silly/confused/
花生	/peanut/groundnut/CL:粒[li4]/
划	/to delimit/to transfer/to assign/to plan/to draw (a line)/stroke of a Chinese character/
话题	/subject (of a talk or conversation)/topic/
怀念	/to cherish the memory of/to think of/to reminisce/
怀孕	/pregnant/to have conceived/gestation/pregnancy/
慌张	/flustered/agitated/
黄金	/gold/golden (opportunity)/prime (time)/
灰	/ash/dust/lime/gray/discouraged; dejected/
灰心	/to lose heart/to be discouraged/
婚礼	/wedding ceremony/wedding/CL:場|场[chang3]/
活跃	/active/lively/excited/to enliven/to brighten up/
伙伴	/partner/companion/comrade/
或许	/perhaps; maybe/
基本	/basic/fundamental/main/elementary/
机器	/machine/CL:臺|台[tai2],部[bu4],個|个[ge4]/
及格	/to pass an exam or a test/to meet a minimum standard/
集合	/to gather; to assemble/(math.) set/
集中	/to concentrate/to centralize/to focus/centralized/concentrated/to put together/
急诊	/to give or receive urgent medical treatment/emergency treatment (at a hospital emergency department, or from a doctor on a house call)/
记忆	/to remember/to recall/memory/CL:個|个[ge4]/
纪录	/variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense "to record")/
纪念	/to commemorate; to honor the memory of/memento; keepsake; souvenir/
家务	/household duties/housework/
嘉宾	/esteemed guest/honored guest/guest (on a show)/
甲	/first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/(used for an unspecified person or thing)/first (in a list, as a party to a contract etc)/letter "A" or roman "I" in list "A, B, C", or "I, II, III" etc/armor plating/shell or carapace/(of the fingers or toes) nail/bladed leather or metal armor (old)/ranking system used in the Imperial examinations (old)/civil administration unit in the baojia 保甲[bao3 jia3] system (old)/ancient Chinese compass point: 75°/
假如	/if/
假装	/to feign/to pretend/
驾驶	/to pilot (ship, airplane etc)/to drive/
坚强	/staunch/strong/
艰苦	/difficult/hard/arduous/
捡	/to pick up; to collect; to gather/
简直	/simply; really/
健身	/to exercise/to keep fit/to work out/physical exercise/
建设	/to build; to construct; to establish; to develop; to institute/
建筑	/to construct/building/CL:個|个[ge4]/
键盘	/keyboard/
讲座	/a course of lectures/CL:個|个[ge4]/
酱油	/soy sauce/
浇	/to pour liquid/to irrigate (using waterwheel)/to water/to cast (molten metal)/to mold/
交换	/to exchange/to swap/to switch (telecom)/commutative (math)/to commute/
交往	/to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact/
角度	/angle/point of view/
教材	/teaching material/CL:本[ben3]/
教训	/to provide guidance; to lecture sb; to upbraid/a talking-to; a bitter lesson/CL:番[fan1],頓|顿[dun4]/
接待	/to receive; to entertain; to host (guests, visitors or clients)/
结实	/rugged/sturdy/strong/durable/buff (physique)/
节省	/saving/to save/to use sparingly/to cut down on/
结构	/structure/composition/makeup/architecture/CL:座[zuo4],個|个[ge4]/
结合	/to combine/to link/to integrate/binding/CL:次[ci4]/
结论	/conclusion/verdict/CL:個|个[ge4]/to conclude/to reach a verdict/
结账	/to pay the bill/to settle accounts/also written 結帳|结帐/
届	/to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)/
借口	/to use as an excuse/excuse; pretext/
戒	/to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)/
紧急	/urgent/emergency/
尽快	/see 儘快|尽快[jin3 kuai4]/
谨慎	/cautious/prudent/
进步	/progress; improvement/to improve; to progress/CL:個|个[ge4]/
近代	/the not-very-distant past/modern times, excluding recent decades/(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)/capitalist times (pre-1949)/
尽量	/as much as possible/to the greatest extent/
精神	/vigor; vitality/spirited/good-looking/
经典	/the classics/scriptures/classical/classic (example, case etc)/typical/
救	/to save/to assist/to rescue/
舅舅	/mother's brother/maternal uncle (informal)/CL:個|个[ge4]/
桔子	/tangerine/also written 橘子/CL:個|个[ge4],瓣[ban4]/
具备	/to possess/to have/equipped with/able to fulfill (conditions or requirements)/
巨大	/huge/immense/very large/tremendous/gigantic/enormous/
决赛	/finals (of a competition)/
绝对	/absolute; unconditional/
军事	/military affairs/(attributive) military/
开放	/to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality/
开水	/boiled water/boiling water/
砍	/to chop/to cut down/to throw sth at sb/
看不起	/to look down upon/to despise/
可见	/it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible/
可怕	/awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly/
克	/variant of 剋|克[ke4]/
客观	/objective/impartial/
控制	/to control/
口味	/a person's preferences/tastes (in food)/flavor/
夸	/to boast; to exaggerate/to praise/
扩大	/to expand/to enlarge/to broaden one's scope/
辣椒	/hot pepper/chili/
烂	/soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad/
劳动	/work/toil/physical labor/CL:次[ci4]/
老板	/boss/business proprietor/CL:個|个[ge4]/
老鼠	/rat; mouse (CL:隻|只[zhi1])/
姥姥	/(coll.) mother's mother/maternal grandmother/
理论	/theory/CL:個|个[ge4]/to argue/to take notice of/
理由	/reason/grounds/justification/CL:個|个[ge4]/
立刻	/forthwith/immediate/prompt/promptly/straightway/thereupon/at once/
力量	/power; force; strength/
利息	/interest (on a loan)/CL:筆|笔[bi3]/
利用	/to exploit/to make use of/to use/to take advantage of/to utilize/
连忙	/promptly/at once/
联合	/to combine/to join/unite/alliance/
了不起	/amazing/terrific/extraordinary/
列车	/(railway) train/
临时	/as the time draws near/at the last moment/temporary/interim/ad hoc/
灵活	/flexible/nimble/agile/
领域	/domain; sphere; field; territory; area/
流传	/to spread/to circulate/to hand down/
浏览	/to skim over/to browse/
龙	/dragon/CL:條|条[tiao2]/imperial/
漏	/to leak/to divulge/to leave out by mistake/waterclock or hourglass (old)/
陆地	/dry land (as opposed to the sea)/
录取	/to accept an applicant (prospective student, employee etc) who passes an entrance exam/to admit (a student)/to hire (a job candidate)/
论文	/paper/treatise/thesis/CL:篇[pian1]/to discuss a paper or thesis (old)/
落后	/to fall behind/to lag (in technology etc)/backward/to retrogress/
骂	/variant of 罵|骂[ma4]/
麦克风	/microphone (loanword)/
满足	/to satisfy/to meet (the needs of)/satisfied/content/
冒险	/to take risks/to take chances/foray/adventure/
眉毛	/eyebrow/CL:根[gen1]/
美术	/art/fine arts/painting/CL:種|种[zhong3]/
秘密	/secret; private; confidential; clandestine/a secret (CL:個|个[ge4])/
面对	/to face; to confront/
面临	/to face sth; to be confronted with/
苗条	/(of a woman) slim/slender/graceful/
明确	/clear-cut; definite; explicit/to clarify; to specify; to make definite/
明显	/clear/distinct/obvious/
名牌	/famous brand/nameplate/name tag/
名胜古迹	/historical sites and scenic spots/
命令	/order/command/CL:道[dao4],個|个[ge4]/
摸	/variant of 摹[mo2]/
模糊	/vague/indistinct/fuzzy/
摩托车	/(loanword) motorbike; motorcycle/CL:輛|辆[liang4],部[bu4]/
某	/some/a certain/sb or sth indefinite/such-and-such/
目标	/target/goal/objective/CL:個|个[ge4]/
目录	/catalog/table of contents/directory (on computer hard drive)/list/contents/
木头	/slow-witted/blockhead/log (of wood, timber etc)/CL:塊|块[kuai4],根[gen1]/
哪怕	/even/even if/even though/no matter how/
难免	/hard to avoid/difficult to escape from/will inevitably/
脑袋	/head/skull/brains/mental capability/CL:顆|颗[ke1],個|个[ge4]/
内科	/internal medicine; general medicine/
嫩	/old variant of 嫩[nen4]/
能干	/capable/competent/
能源	/energy/power source/CL:個|个[ge4]/
年代	/a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]/
年纪	/age/CL:把[ba3],個|个[ge4]/
宁可	/preferably/one would prefer to...(or not to...)/would rather/(would) be better to/(to pick) the lesser of two evils/
牛仔裤	/jeans/CL:條|条[tiao2]/
农村	/rural area/village/CL:個|个[ge4]/
农业	/agriculture/farming/
女士	/lady/madam/CL:個|个[ge4],位[wei4]/Miss/Ms/
派	/clique/school/group/faction/to dispatch/to send/to assign/to appoint/pi (Greek letter Ππ)/the circular ratio pi = 3.1415926/(loanword) pie/
赔偿	/to compensate/
培养	/to cultivate/to breed/to foster/to nurture/to educate/to groom (for a position)/education/fostering/culture (biology)/
配合	/matching/fitting in with/compatible with/to correspond/to fit/to conform to/rapport/to coordinate with/to act in concert with/to cooperate/to become man and wife/to combine parts of machine/
披	/to drape over one's shoulders/to open/to unroll/to split open/to spread out/
片面	/unilateral/one-sided/
拼音	/phonetic writing/pinyin (Chinese romanization)/
平	/flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/abbr. for 平聲|平声[ping2 sheng1]/
平常	/ordinary/common/usually/ordinarily/
平方	/square (as in square foot, square mile, square root)/
平静	/tranquil/undisturbed/serene/
评价	/to evaluate/to assess/
破坏	/destruction/damage/to wreck/to break/to destroy/
期待	/to look forward to/to await/expectation/
奇迹	/miracle/miraculous/wonder/marvel/
启发	/to enlighten/to explain (a text etc)/to stimulate (a mental attitude)/enlightenment/revelation/motivation/
气氛	/atmosphere; mood/
汽油	/gasoline/
谦虚	/modest/self-effacing/to make modest remarks/
签	/inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag/
浅	/shallow/light (color)/
枪	/variant of 槍|枪[qiang1]/rifle/spear/
强调	/to emphasize (a statement)/to stress/
抢	/to fight over/to rush/to scramble/to grab/to rob/to snatch/
悄悄	/quiet; making little or no noise/surreptitious; stealthy/anxious; worried/Taiwan pr. [qiao3 qiao3]/
瞧	/to look at/to see/to see (a doctor)/to visit/
巧妙	/ingenious; clever/ingenuity; artifice/
亲爱	/dear/beloved/darling/
亲切	/amiable/cordial/close and dear/familiar/
勤奋	/hardworking/diligent/
青春	/youth/youthfulness/
轻视	/contempt/contemptuous/to despise/to scorn/scornful/
请求	/to request; to ask/request (CL:個|个[ge4])/
球迷	/fan (ball sports)/CL:個|个[ge4]/
趋势	/trend; tendency/
去世	/to pass away/to die/
权力	/power/authority/
劝	/to advise/to urge/to try to persuade/to exhort/to console/to soothe/
缺乏	/to lack; to be short of/
确认	/to confirm/to verify/confirmation/
群	/group/crowd/flock, herd, pack etc/
燃烧	/to ignite/to combust/to burn/combustion/flaming/
绕	/variant of 繞|绕[rao4], to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour/
热爱	/to love ardently/to adore/
热心	/enthusiastic; ardent; zealous/
人才	/talent/talented person/looks/attractive looks/
人类	/humanity/human race/mankind/
人生	/life (one's time on earth)/
人物	/person; personage; figure (esp. sb of importance)/character (in a play, novel etc)/figure painting (as a genre of traditional Chinese painting)/
忍不住	/cannot help/unable to bear/
日程	/schedule/itinerary/CL:個|个[ge4]/
日历	/calendar/CL:張|张[zhang1],本[ben3]/
日用品	/articles for daily use/CL:件[jian4],個|个[ge4]/
如何	/how/what way/what/
软件	/(computer) software/
洒	/to sprinkle/to spray/to spill/to shed/
嗓子	/throat/voice/CL:把[ba3]/
沙滩	/beach/sandy shore/CL:片[pian4]/
晒	/(of the sun) to shine on/to bask in (the sunshine)/to dry (clothes, grain etc) in the sun/(fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share")/(coll.) to give the cold shoulder to/
闪电	/lightning/CL:道[dao4]/
善于	/to be good at; to be adept at/
商品	/commodity; goods; merchandise/CL:件|件[jian4]/
商务	/commercial affairs/commercial/commerce/business/
伤害	/to injure; to harm/
舍不得	/to hate to do sth/to hate to part with/to begrudge/
设计	/to design; to plan/design; plan/
摄影	/to take a photograph/photography/to shoot (a movie)/
伸	/to stretch/to extend/
深刻	/profound/deep/deep-going/
身份	/identity/aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)/role/capacity (as in "in his capacity as a ..." 以…的身份[yi3 xx5 de5 shen1 fen4])/status (social, legal etc)/position/rank/
神秘	/mysterious/mystery/
生动	/vivid/lively/
生长	/to grow/to grow up/to be brought up/
诗	/poem/CL:首[shou3]/poetry/verse/
失眠	/to suffer from insomnia/
狮子	/lion/CL:隻|只[zhi1],頭|头[tou2]/
时代	/age/era/epoch/period (in one's life)/CL:個|个[ge4]/
时髦	/in vogue/fashionable/
时尚	/fashion/fad/fashionable/
实习	/to practice/field work/to intern/internship/
实验	/experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment/
石头	/stone/CL:塊|块[kuai4]/
使劲儿	/erhua variant of 使勁|使劲[shi3 jin4]/
始终	/from beginning to end/all along/
试卷	/examination paper/test paper/CL:份[fen4],張|张[zhang1]/
市场	/marketplace/market (also in abstract)/
事物	/thing; object/CL:個|个[ge4]/
收据	/receipt/CL:張|张[zhang1]/
手工	/handwork/manual/
手术	/(surgical) operation/surgery/CL:個|个[ge4]/
手续	/procedure/CL:道[dao4],個|个[ge4]/formalities/
首	/head/chief/first (occasion, thing etc)/classifier for poems, songs etc/
受伤	/to sustain injuries/wounded (in an accident etc)/harmed/
寿命	/life span/life expectancy/lifetime (of a machine)/
书架	/bookshelf/CL:個|个[ge4]/
输入	/to import/to input/
熟练	/practiced/proficient/skilled/skillful/
鼠标	/mouse (computing)/
数据	/data/
数码	/number/numerals/figures/digital/amount/numerical code/
摔倒	/to fall down/to slip and fall/to throw sb to the ground/
双方	/bilateral/both sides/both parties involved/
税	/taxes/duties/
说服	/to persuade/to convince/to talk sb over/Taiwan pr. [shui4 fu2]/
丝绸	/silk cloth/silk/
思想	/thought/thinking/idea/ideology/CL:個|个[ge4]/
似乎	/it seems; seemingly; as if/
随身	/to (carry) on one's person/to (take) with one/
碎	/(transitive or intransitive verb) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous/
损失	/loss/damage/CL:個|个[ge4]/to lose/to suffer damage/
锁	/old variant of 鎖|锁[suo3]/
台阶	/steps/flight of steps/step (over obstacle)/fig. way out of an embarrassing situation/bench (geology)/
太极拳	/shadowboxing or Taiji, T'aichi or T'aichichuan/traditional form of physical exercise or relaxation/a martial art/
逃	/to escape/to run away/to flee/
淘气	/naughty/mischievous/
讨价还价	/to haggle over price/to bargain/
套	/to cover/to encase/cover/sheath/to overlap/to interleave/to model after/to copy/formula/harness/loop of rope/(fig.) to fish for/to obtain slyly/classifier for sets, collections/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)/
特色	/characteristic/distinguishing feature or quality/
提倡	/to promote/to advocate/
题目	/subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])/
体贴	/considerate (of other people's needs)/
体验	/to experience for oneself/
天空	/sky/
天真	/naive/innocent/artless/
调整	/to adjust/adjustment/revision/CL:個|个[ge4]/
通常	/regular; usual; normal/usually; normally/
统一	/to unify; to integrate/unified; integrated/
痛快	/delighted/to one's heart's content/straightforward/also pr. [tong4 kuai5]/
偷	/to steal/to pilfer/to snatch/thief/stealthily/
投资	/investment/to invest/
突出	/prominent/outstanding/to give prominence to/to protrude/to project/
土豆	/potato (CL:個|个[ge4])/(Tw) peanut (CL:顆|颗[ke1])/
兔子	/hare/rabbit/CL:隻|只[zhi1]/
推辞	/to decline (an appointment, invitation etc)/
推荐	/to recommend/recommendation/
退	/to retreat; to withdraw/to reject; to return (sth)/to decline/
退休	/to retire (from the workforce); to go into retirement/
外公	/(coll.) mother's father/maternal grandfather/
完整	/complete/intact/
玩具	/plaything/toy/
万一	/just in case/if by any chance/contingency/
威胁	/to threaten; to menace/
维修	/maintenance (of equipment)/to protect and maintain/
围绕	/to revolve around/to center on (an issue)/
尾巴	/tail/colloquial pr. [yi3 ba5]/
委屈	/to feel wronged/to cause sb to feel wronged/grievance/
胃	/stomach/CL:個|个[ge4]/
位于	/to be located at/to be situated at/to lie/
未必	/not necessarily/maybe not/
温柔	/gentle and soft; tender; sweet (commonly used to describe a girl or woman)/
文具	/stationery/item of stationery (pen, pencil, eraser, pencil sharpener etc)/
文学	/literature/CL:種|种[zhong3]/
稳定	/steady/stable/stability/to stabilize/to pacify/
问候	/to give one's respects/to send a greeting/(fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)/
卧室	/bedroom/CL:間|间[jian1]/
无数	/countless/numberless/innumerable/
勿	/do not/
物质	/matter/substance/material/materialistic/CL:個|个[ge4]/
吸取	/to absorb/to draw (a lesson, insight etc)/to assimilate/
系统	/system/CL:個|个[ge4]/
戏剧	/a drama; a play; theater/script of a play/
吓	/to frighten/to scare/
夏令营	/summer camp/
下载	/to download/also pr. [xia4 zai4]/
显然	/clearly; evidently; obviously/
县	/county/
现象	/phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance/
香肠	/sausage/CL:根[gen1]/
相当	/equivalent to/appropriate/considerably/to a certain extent/fairly/quite/
相似	/similar; alike/
想念	/to miss/to remember with longing/to long to see again/
享受	/to enjoy/to live it up/pleasure/CL:種|种[zhong3]/
项链	/necklace/CL:條|条[tiao2]/
象征	/emblem/symbol/token/badge/to symbolize/to signify/to stand for/
消极	/negative/passive/inactive/
消失	/to disappear; to fade away/
小气	/stingy/miserly/narrow-minded/petty/
孝顺	/filial/dutiful/devoted to one's parents (and grandparents etc)/to show filial piety towards (an older family member)/filial piety/
斜	/inclined/slanting/oblique/tilting/
写作	/to write/to compose/writing/written works/
心理	/psychology/mentality/
心脏	/heart/CL:顆|颗[ke1],個|个[ge4]/
信任	/to trust/to have confidence in/
行为	/action/conduct/behavior/activity/
形容	/to describe/(literary) countenance; appearance/
形势	/circumstances/situation/terrain/CL:個|个[ge4]/
