挨	/to suffer; to endure/to pull through (hard times)/to delay; to stall; to play for time; to dawdle/
癌症	/cancer/
爱不释手	/(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible/
爱戴	/to love and respect/love and respect/
暧昧	/vague/ambiguous/equivocal/dubious/
安宁	/peaceful/tranquil/calm/composed/free from worry/
安详	/serene/
安置	/to find a place for/to help settle down/to arrange for/to get into bed/placement/
暗示	/to hint; to suggest/hint; suggestion/
案件	/case/instance/CL:宗[zong1],樁|桩[zhuang1],起[qi3]/
案例	/case (of fraud, hepatitis, international cooperation etc); instance; example/CL:個|个[ge4]/
按摩	/massage/to massage/
昂贵	/expensive/costly/
凹凸	/concave or convex/bumps and holes/uneven (surface)/rugged/
熬	/to cook on a slow fire; to extract by heating; to decoct/to endure/
奥秘	/secret/mystery/
扒	/to rake up/to steal/to braise/to crawl/
疤	/scar/scab/
巴不得	/(coll.) to be eager for/to long for/to look forward to/
巴结	/to fawn on/to curry favor with/to make up to/
拔苗助长	/to spoil things through excessive enthusiasm (idiom)/
把关	/to guard a pass/to check on sth/
把手	/handle/grip/knob/
霸道	/the Way of the Hegemon/abbr. for 霸王之道/despotic rule/rule by might/evil as opposed to the Way of the King 王道/overbearing/tyranny/(of liquor, medicine etc) strong/potent/
罢工	/a strike/to go on strike/
掰	/to break off or break open sth with one's hands/(fig.) to break off (a relationship)/
摆脱	/to break away from/to cast off (old ideas etc)/to get rid of/to break away (from)/to break out (of)/to free oneself from/to extricate oneself/
拜访	/to pay a visit; to call on/
拜年	/to pay a New Year call/to wish sb a Happy New Year/
拜托	/to request sb to do sth/please!/
败坏	/to ruin/to corrupt/to undermine/
斑	/spot/colored patch/stripe/spotted/striped/variegated/
颁布	/to issue/to proclaim/to enact (laws, decrees etc)/
颁发	/to issue/to promulgate/to award/
版本	/version/edition/release/
半途而废	/to give up halfway (idiom); leave sth unfinished/
伴侣	/companion/mate/partner/
伴随	/to accompany/to follow/to occur together with/concomitant/
扮演	/to play the role of/to act/
绑架	/to kidnap/to abduct/to hijack/a kidnapping/abduction/staking/
榜样	/example/model/CL:個|个[ge4]/
磅	/used in 磅礴[pang2 bo2]/Taiwan pr. [pang1]/
包庇	/to shield/to harbor/to cover up/
包袱	/wrapping cloth/a bundle wrapped in cloth/load/weight/burden/funny part/punchline/
包围	/to surround/to encircle/to hem in/
包装	/to pack/to package/to wrap/packaging/
饱和	/saturated; filled to capacity/
饱经沧桑	/having lived through many changes/
保管	/to hold in safekeeping; to have in one's care/to guarantee/certainly; surely/custodian; curator/
保密	/to keep sth confidential/to maintain secrecy/
保姆	/nanny/housekeeper/
保守	/conservative/to guard/to keep/
保卫	/to defend/to safeguard/
保养	/to take good care of (or conserve) one's health/to keep in good repair/to maintain/maintenance/
保障	/to ensure/to guarantee/to safeguard/
保重	/to take care of oneself/
抱负	/aspiration/ambition/
报仇	/to take revenge/to avenge/
报酬	/reward/remuneration/
报答	/to repay/to requite/
报复	/to make reprisals; to retaliate/revenge; retaliation/
报警	/to sound an alarm/to report sth to the police/
报销	/to submit an expense account/to apply for reimbursement/to write off/to wipe out/
爆发	/to break out/to erupt/to explode/to burst out/
爆炸	/explosion/to explode/to blow up/to detonate/
曝光	/to expose (photography)/(fig.) to expose (a scandal)/(advertising) exposure/Taiwan pr. [pu4 guang1]/
暴力	/violence/force/violent/
暴露	/to expose/to reveal/to lay bare/also pr. [pu4 lu4]/
悲哀	/grieved/sorrowful/
悲惨	/miserable/tragic/
卑鄙	/base/mean/contemptible/despicable/
北极	/the North Pole; the Arctic Pole/the north magnetic pole/
被动	/passive/
被告	/defendant/
背叛	/to betray/
背诵	/to recite/to repeat from memory/
备份	/backup/
备忘录	/memorandum/aide-memoire/memorandum book/
贝壳	/shell (of a mollusk)/
奔波	/to rush about/to be constantly on the move/
奔驰	/to run quickly/to speed/to gallop/
本能	/instinct/
本钱	/capital/(fig.) asset; advantage; the means (to do sth)/
本人	/I; me; myself/oneself; yourself; himself; herself; the person concerned/
本身	/itself/in itself/per se/
本事	/ability/skill/
笨拙	/clumsy/awkward/stupid/
崩溃	/to collapse; to crumble; to fall apart/
甭	/(dialect) very/
蹦	/to jump; to bounce; to hop/
迸发	/to burst forth/
逼迫	/to force/to compel/to coerce/
