"我⠀";"wǒ";"I; me; my";"我 (I)";"Other words using this character: 我们 (wǒmen; we)";"❈ 这是我的书。";"【zhè shì wǒ de shū.】
This is my book.";"❈ 我喜欢唱歌。";"【wǒ xǐhuan chànggē.】
If he doesn't agree, we won't go.";"♻❈ 假如他来了，我们就开始。";"【jiǎrú tālái le, wǒmen jiù kāishǐ.】
If he comes, we'll start.";"♻❈ 他的儿子是我的学生。";"【tā de érzi shì wǒ de xuésheng.】
His son is my student.";"♻❈ 他有一个儿子。";"【tā yǒu yīgè érzi.】
He has a son.";"♻❈ 他的儿子是医生。";"【tā de érzi shì yīshēng.】
His son is a doctor."

"她⠀";"tā";"she";"她 (she)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的笑容很温暖。";"【tā de xiàoróng hěn wēnnuǎn.】
Her smile is very warm.";"❈ 她喜欢唱歌。";"【tā xǐhuan chànggē.】
She likes singing.";"❈ 她是我的朋友。";"【tā shì wǒ de péngyou.】
She is my friend.";"❈ 她在图书馆。";"【tā zài túshūguǎn.】
She is in the library."

"这 (这儿)⠀";"zhè ( zhèr)";"this (here)";"这 (this)";"There are no other HSK words in this level (or before) using this character.";" ";"There are no other HSK words in this level (or before) using this character.";"(";"There are no other HSK words in this level (or before) using this character.";"这 (this)";"There are no other HSK words in this level (or before) using this character.";"儿 (person/diminutive)";"Other words using this character: 哪儿 (nǎr; where); 一点儿 (yīdiǎnr; a little); 儿子 (érzi; son); 女儿 (nǚér; daughter)";")";"There are no other HSK words in this level (or before) using this character."

"那 (那儿)⠀";"nà (nàr)";"that (there)";"那 (that)";"There are no other HSK words in this level (or before) using this character.";" ";"There are no other HSK words in this level (or before) using this character.";"(";"There are no other HSK words in this level (or before) using this character.";"那 (that)";"There are no other HSK words in this level (or before) using this character.";"儿 (person/diminutive)";"Other words using this character: 哪儿 (nǎr; where); 一点儿 (yīdiǎnr; a little); 儿子 (érzi; son); 女儿 (nǚér; daughter)";")";"There are no other HSK words in this level (or before) using this character."

"哪⠀";"nǎ";"which? (interrogative, followed by classifier or numeral-classifier)";"哪 (which)";"Other words using this character: 哪儿 (nǎr; where)";"❈ 你要哪一种颜色的衣服？";"【nǐ yào nǎ yīzhǒng yánsè de yīfú?】
Which color of clothes do you want?";"❈ 哪个城市是你最喜欢的？";"【nǎge chéngshì shì nǐ zuì xǐhuan de?】
Which city is your favorite?";"❈ 这些书哪一本是你的？";"【zhèxiē shū nǎ yìběn shì nǐ de?】
Which one of these books is yours?";"🐇 江澄不知道哪一种武功最适合他的性格和天赋。";"【jiāngchéng bù zhīdào nǎ yīzhǒng wǔgōng zuì shìhé tā de xìnggé hé tiānfù.】
Jiang Cheng doesn't know which martial arts are most suitable for his personality and talents.";"🐇 蓝曦臣问道：“哪一种音乐能让你感到心旷神怡？”";"【lánxīchén wèndào ： “ nǎ yīzhǒng yīnyuè néng ràng nǐ gǎndào xīnkuàngshényí? ”】
Lan Xichen asked, ""Which kind of music makes you feel relaxed and happy?""";"♻❈ 欧盟的总部在哪里？";"【ōuméng de zǒngbù zài nǎlǐ?】
Where is the headquarters of the European Union?";"♻❈ 我还没想好要去哪里度假。";"【wǒ hái méixiǎng hǎo yào qù nǎlǐ dùjià.】
I haven't decided where to go on vacation yet.";"♻❈ 我不知道从哪里开头。";"【wǒ bù zhīdào cóng nǎlǐ kāitóu.】
I don't know where to start.";"♻❈ 亲爱的，你在哪里？";"【qīnài de, nǐ zài nǎlǐ?】
Dear, where are you?";"♻❈ 你喜欢哪些颜色？";"【nǐ xǐhuan nǎxiē yánsè?】
Which colors do you like?";"♻❈ 你知道哪些人会来参加派对吗？";"【nǐ zhīdào nǎxiē rénhuìlái cānjiā pàiduì ma?】
Do you know who will come to the party?"

"哪儿⠀";"nǎr";"where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?";"哪 (which)";"Other words using this character: 哪 (nǎ; which)";"儿 (person/diminutive)";"Other words using this character: 一点儿 (yīdiǎnr; a little); 儿子 (érzi; son); 女儿 (nǚér; daughter)";"❈ 我哪儿也不想去。";"【wǒ nǎr yě bùxiǎng qù.】
I don't want to go anywhere.";"❈ 你去哪儿？";"【nǐ qù nǎr?】
Where are you going?";"❈ 他哪儿都不愿意去。";"【tā nǎr dōu bù yuànyì qù.】
He is unwilling to go anywhere.";"🐇 温情：哪儿都别去，就在家好好休息。";"【wēnqíng ： nǎr dōu bié qù, jiù zàijiā hǎohǎo xiūxi.】
Wen Qing: Don't go anywhere, just stay at home and rest well.";"🐇 魏无羡：你说他去哪儿了？";"【wèiwúxiàn ： nǐ shuō tā qù nǎr le?】
Wei Wuxian: Where do you think he went?";"♻🐇 温情的记性很差，经常忘记自己放哪儿了东西。";"【wēnqíng de jìxing hěnchā, jīngcháng wàngjì zìjǐ fàng nǎr le dōngxi.】
Wen Qing has a poor memory and often forgets where she put things.";"♻❈ 这个节目里的拆哪儿很有趣。";"【zhège jiémù lǐ de chāi nǎr hěn yǒuqù.】
The jokes about House Removal System in this show are very interesting.";"♻❈ 这个笑话是关于拆哪儿的。";"【zhège xiàohuà shì guānyú chāi nǎr de.】
This joke is about House Removal System.";"♻❈ 他总是喜欢开拆哪儿的玩笑。";"【tā zǒngshì xǐhuan kāichāi nǎr de wánxiào.】
He always likes to make jokes about House Removal System.";"♻🐇 金子轩听到了魏无羡和江澄的拆哪儿笑话，感到很无奈。";"【jīnzi xuān tīngdào le wèiwúxiàn hé jiāngchéng de chāi nǎr xiàohuà, gǎndào hěn wúnài.】
Jin Zixuan heard Wei Wuxian and Jiang Cheng's joke about the House Removal System and felt very helpless.";"♻🐇 金凌对魏无羡说：“别再拆哪儿了，这不好笑。”";"【jīnlíngduì wèiwúxiàn shuō ： “ bié zài chāi nǎr le, zhè bùhǎo xiào. ”】
Jin Ling said to Wei Wuxian, ""Stop making jokes about the House Removal System, it's not funny.""";"♻🐇 魏无羡常常忘记自己放哪儿了蓝忘机的蓝领巾。";"【wèiwúxiàn chángcháng wàngjì zìjǐ fàng nǎr le lánwàngjī de lánlǐng jīn.】
Wei Wuxian often forgets where he put Lan Wangji's blue ribbon."

"谁⠀";"shéi";"who; also pr. [shuí]";"谁 (who)";"There are no other HSK words in this level (or before) using this character.";"❈ 谁来了？";"【shéi lái le?】
Who came?";"❈ 我不知道是谁。";"【wǒ bù zhīdào shì shéi.】
I don't know who it is.";"❈ 谁会知道呢？";"【shéi huì zhīdào ne?】
Who would know?";"❈ 谁会相信这个谎言呢？";"【shéi huì xiāngxìn zhège huǎngyán ne?】
Who would believe this lie?";"❈ 你知道谁做了这件事吗？";"【nǐ zhīdào shéi zuò le zhèjiàn shì ma?】
Do you know who did this?";"❈ 谁来过这里？";"【shéi lái guò zhèlǐ?】
Who has been here?";"🐇 魏无羡问道：“谁是你的亲人？”";"【wèiwúxiàn wèndào ： “ shéi shì nǐ de qīnrén? ”】
Wei Wuxian asked, ""Who is your family?""";"♻❈ 请问，这辆车的司机是谁？";"【qǐngwèn, zhèliàng chē de sījī shì shéi?】
Excuse me, who is the driver of this car?";"♻🐇 魏无羡和江澄常常在一起赌酒，谁输了就要喝一杯。";"【wèiwúxiàn hé jiāngchéng chángcháng zài yīqǐ dǔjiǔ, shéi shū le jiùyào hēyībēi.】
Wei Wuxian and Jiang Cheng often gamble on drinking, and the loser has to drink a cup.";"♻❈ 别得瑟了，谁都知道你的真实水平。";"【biédésè le, shéi dōu zhīdào nǐ de zhēnshí shuǐpíng.】
Stop showing off, everyone knows your real level.";"♻❈ 这个国家的首脑是谁？";"【zhège guójiā de shǒunǎo shì shéi?】
Who is the head of state of this country?"

"什么⠀";"shénme";"what?; something; anything";"什 (assorted)";"There are no other HSK words in this level (or before) using this character.";"么 (what)";"Other words using this character: 怎么 (zěnme; how); 怎么样 (zěnmeyàng; how?)";"❈ 你在说什么？";"【nǐ zài shuō shénme?】
What are you talking about?";"❈ 我不知道要选什么。";"【wǒ bù zhīdào yàoxuǎn shénme.】
I don't know what to choose.";"❈ 他什么都不想做。";"【tā shénme dōu bùxiǎng zuò.】
He doesn't want to do anything.";"🐇 金凌：什么？";"【jīnlíng ： shénme?】
Jin Ling: What?";"🐇 蓝忘机：我听不懂你在说什么。";"【lánwàngjī ： wǒ tīngbudǒng nǐ zài shuō shénme.】
Lan Wangji: I don't understand what you're saying.";"♻❈ 嘿，你在干什么？";"【hēi, nǐ zài gànshénme?】
Hey, what are you doing?";"♻🐇 金凌觉得叔叔有时候的行为很疯狂，不知道在想些什么。";"【jīnlíng juéde shūshu yǒushíhou de xíngwéi hěn fēngkuáng, bù zhīdào zài xiǎngxiē shénme.】
Jin Ling finds his uncle's behavior sometimes crazy and wonders what he's thinking.";"♻❈ 这个机器的工作原理是什么？";"【zhège jīqì de gōngzuò yuánlǐ shì shénme?】
What is the working principle of this machine?";"♻🐇 温情问金凌：“你需要我帮你做些什么吗？”";"【wēnqíng wènjīnlíng ： “ nǐ xūyào wǒ bāng nǐ zuòxiē shénme ma? ”】
Wen Qing asked Jin Ling, ""Do you need me to help you with anything?""";"♻❈ 他的动机是什么？";"【tā de dòngjī shì shénme?】
What is his motive?"

"多少⠀";"duōshǎo";"how much?; how many?; (phone number, student ID etc) what number?";"多 (many)";"Other words using this character: 多 (duō; many)";"少 (few)";"Other words using this character: 少 (shǎo; few)";"❈ 他有多少钱？";"【tā yǒu duōshǎo qián?】
How much money does he have?";"❈ 这个问题的答案是多少？";"【zhège wèntí de dáàn shì duōshǎo?】
What is the answer to this question?";"❈ 你有多少兄弟姐妹？";"【nǐ yǒu duōshǎo xiōngdìjiěmèi?】
How many siblings do you have?";"🐇 魏无羡不知道自己有多少敌人，但他并不在意。";"【wèiwúxiàn bù zhīdào zìjǐ yǒu duōshǎo dírén, dàn tā bìng bùzàiyì.】
Wei Wuxian doesn't know how many enemies he has, but he doesn't care.";"🐇 金凌问蓝湛，你有多少把古董琴？";"【jīnlíngwèn lánzhàn, nǐ yǒu duōshǎo bǎ gǔdǒng qín?】
Jin Ling asked Lan Zhan, ""How many antique guqin do you have?""";"♻❈ 这些数字的总和是多少？";"【zhèxiē shùzì de zǒnghé shì duōshǎo?】
What is the sum of these numbers?";"♻❈ 这个物体的重量是多少？";"【zhège wùtǐ de zhòngliàng shì duōshǎo?】
What is the weight of this object?";"♻❈ 这些数字的总数是多少？";"【zhèxiē shùzì de zǒngshù shì duōshǎo?】
What is the total of these numbers?"

"几⠀";"jǐ";"how much; how many; several; a few";"related words";"几 (jǐ)
This word is used to ask about the number or quantity of something, and is often translated as ""how many"" or ""how much."" It is used to inquire about a small or indefinite number.

少 (shǎo)
This word means ""few"" or ""little,"" and is used to describe a small quantity or number. It is used to indicate a scarcity or insufficiency of something.
For example, you can use 几 (jǐ) to ask ""How many apples do you want?"" or ""How much water do you need?"" However, you would use 少 (shǎo) to say ""There are few people in the room"" or ""There is little time left.""";"几 (how many)";"There are no other HSK words in this level (or before) using this character.";"❈ 我只剩下几块钱了。";"【wǒ zhǐ shèngxià jǐkuàiqián le.】
I only have a few dollars left.";"❈ 这里有几个人在等你。";"【zhèlǐ yǒu jǐge rén zài děng nǐ.】
There are several people waiting for you here.";"❈ 他过去几天一直在忙着准备考试。";"【tā guòqu jǐtiān yīzhí zài máng zhe zhǔnbèi kǎoshì.】
He has been busy preparing for the exam for the past few days.";"❈ 他已经等了几个小时了。";"【tā yǐjīng děng le jǐge xiǎoshí le.】
He has been waiting for several hours.";"❈ 这里有几个苹果。";"【zhèlǐ yǒu jǐge píngguǒ.】
There are a few apples here.";"❈ 我只剩下几块巧克力了。";"【wǒ zhǐ shèngxià jǐkuài qiǎokèlì le.】
I only have a few pieces of chocolate left.";"❈ 我只学了几个汉字。";"【wǒ zhǐxué le jǐge hànzì.】
I only learned a few Chinese characters.";"❈ 他们过了几个快乐的小时。";"【tāmen guò le jǐge kuàilè de xiǎoshí.】
They spent several happy hours.";"🐇 魏无羡问蓝忘机，你们家有几个哥哥？";"【wèiwúxiàn wèn lánwàngjī, nǐmen jiāyǒu jǐge gēge?】
Wei Wuxian asked Lan Wangji, ""How many older brothers do you have in your family?""";"♻❈ 今天是几号日期？";"【jīntiān shì jǐhào rìqī?】
What is the date today?";"♻❈ 这个国家曾经合并了几个省份。";"【zhège guójiā céngjīng hébìng le jǐge shěngfèn.】
This country once annexed several provinces."

"怎么⠀";"zěnme";"variant of 怎麼|怎么[zěn me5]";"怎 (how)";"Other words using this character: 怎么样 (zěnmeyàng; how?)";"么 (what)";"Other words using this character: 什么 (shénme; what); 怎么样 (zěnmeyàng; how?)";"❈ 你怎么了？";"【nǐ zěnme le?】
What's wrong with you?";"❈ 你怎么会知道？";"【nǐ zěnme huì zhīdào?】
How would you know?";"❈ 这个怎么做？";"【zhège zěnme zuò?】
How is this done?";"🐇 金凌：你怎么会这样？";"【jīnlíng ： nǐ zěnme huì zhèyàng?】
Jin Ling: How could you be like this?";"🐇 温情：你怎么这么笨？";"【wēnqíng ： nǐ zěnme zhème bèn?】
Wen Qing: Why are you so stupid?";"♻🐇 金凌不怎么能吃辣椒，但是他喜欢吃麻辣烫。";"【jīnlíng bùzěnme néng chī làjiāo, dànshì tā xǐhuan chī málàtàng.】
Jin Ling can't eat a lot of hot peppers, but he likes to eat spicy hot pot.";"♻❈ 我不知道怎么办才好。";"【wǒ bù zhīdào zěnmebàn cái hǎo.】
I don't know what to do.";"♻❈ 怎么办，我迷路了。";"【zěnmebàn, wǒ mílù le.】
What should I do, I'm lost.";"♻❈ 这件事情出了问题，怎么办？";"【zhèjiàn shìqing chū le wèntí, zěnmebàn?】
There is a problem with this matter, what should we do?";"♻❈ 他问我怎么办，我也没办法。";"【tā wèn wǒ zěnmebàn, wǒ yě méi bànfǎ.】
He asked me what to do, but I have no idea either."

"怎么样⠀";"zěnmeyàng";"how?; how about?; how was it?; how are things?";"怎 (how)";"Other words using this character: 怎么 (zěnme; how)";"么 (what)";"Other words using this character: 什么 (shénme; what); 怎么 (zěnme; how)";"样 (appearance)";"There are no other HSK words in this level (or before) using this character.";"❈ 你的新工作怎么样？";"【nǐ de xīn gōngzuò zěnmeyàng?】
How is your new job?";"❈ 你觉得这件衣服怎么样？";"【nǐ juéde zhèjiàn yīfú zěnmeyàng?】
How do you feel about this piece of clothing?";"❈ 今天的考试怎么样？";"【jīntiān de kǎoshì zěnmeyàng?】
How was today's exam?";"🐇 蓝湛问蓝曦臣：“怎么样？你觉得这首曲子如何？”";"【lánzhànwèn lánxīchén ： “ zěnmeyàng? nǐ juéde zhèshǒu qǔzi rúhé? ”】
Lan Zhan asked Lan Xichen, ""How is it? What do you think of this piece of music?""";"🐇 蓝曦臣问温情：“怎么样？你对我的医术满意吗？”";"【lánxīchén wèn wēnqíng ： “ zěnmeyàng? nǐ duì wǒ de yīshù mǎnyì ma? ”】
Lan Xichen asked Wen Qing, ""How is it? Are you satisfied with my medical skills?""";"♻❈ 你尝一尝这个菜怎么样？";"【nǐ chángyīcháng zhège cài zěnmeyàng?】
Try this dish and see how it tastes.";"♻🐇 魏无羡，说实话，你对蓝忘机的忠诚是怎么样的？";"【wèiwúxiàn, shuōshíhuà, nǐ duì lánwàngjī de zhōngchéng shì zěnmeyàng de?】
Wei Wuxian, frankly, what is your loyalty to Lan Wangji like?";"♻🐇 蓝湛，说实话，你对魏无羡的感情是怎么样的？";"【lánzhàn, shuōshíhuà, nǐ duì wèiwúxiàn de gǎnqíng shì zěnmeyàng de?】
Lan Zhan, frankly, what are your feelings towards Wei Wuxian?";"♻❈ 你觉得这个问题怎么样？";"【nǐ juéde zhège wèntí zěnmeyàng?】
What do you think of this issue?";"♻❈ 这个月的销售指标完成得怎么样？";"【zhège yuè de xiāoshòu zhǐbiāo wánchéng dé zěnmeyàng?】
How is the completion of this month's sales target?";"♻❈ 这个餐厅的食物不怎么样。";"【zhège cāntīng de shíwù bùzěnmeyàng.】
There's nothing great about the food in this restaurant.";"♻❈ 他的表现不怎么样。";"【tā de biǎoxiàn bùzěnmeyàng.】
His performance is very indifferent."

"一⠀";"yī";"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit";"一 (one)";"Other words using this character: 一点儿 (yīdiǎnr; a little)";"🐇 温情一直对温宁说，一定要保护好自己。";"【wēnqíng yīzhí duì wēnníng shuō, yīdìng yào bǎohù hǎo zìjǐ.】
Wen Qing always tells Wen Ning to take good care of himself.";"🐇 蓝曦臣一直在帮助蓝湛处理家族事务。";"【lánxīchén yīzhí zài bāngzhù lánzhàn chǔlǐ jiāzú shìwù.】
Lan Xichen has been helping Lan Zhan deal with family matters.";"♻❈ 它是一只小猫。";"【tā shì yīzhī xiǎomāo.】
It is a little cat.";"♻🐇 蓝曦臣对着魏无羡微微一笑，表示好的。";"【lánxīchén duì zhe wèiwúxiàn wēiwēiyīxiào, biǎoshì hǎo de.】
Lan Xichen smiled slightly at Wei Wuxian, indicating ""OK.""";"♻❈ 假如你不来，我就一个人去。";"【jiǎrú nǐ bùlái, wǒ jiù yīgè rénqù.】
If you don't come, I'll go alone.";"♻🐇 假如魏无羡还在，一切也许会不同。";"【jiǎrú wèiwúxiàn hái zài, yīqiè yěxǔ huì bùtóng.】
If Wei Wuxian were still here, everything might be different.";"♻❈ 他有一个儿子。";"【tā yǒu yīgè érzi.】
He has a son."

"二⠀";"èr";"two; 2; (Beijing dialect) stupid";"二 (two)";"There are no other HSK words in this level (or before) using this character.";"🐇 蓝曦臣虽然看似温文尔雅，但他也有时候会做一些二的事情。";"【lánxīchén suīrán kànsì wēnwéněryǎ, dàn tā yě yǒushíhou huì zuò yīxiē èr de shìqing.】
Lan Xichen may seem gentle and refined, but sometimes he also does silly things.";"🐇 魏无羡和蓝忘机是一对形影不离的二人组。";"【wèiwúxiàn hé lánwàngjī shì yīduì xíngyǐngbùlí de èrrénzǔ.】
Wei Wuxian and Lan Wangji are an inseparable duo.";"♻🐇 蓝曦臣和蓝曦臣兄弟二人关系紧密，形影不离。";"【lánxīchén hé lánxīchén xiōngdìèrrén guānxi jǐnmì, xíngyǐngbùlí.】
Lan Xichen and his brother are inseparably close, always together.";"♻❈ 这个实验室正在研究二氧化碳的排放。";"【zhège shíyànshì zhèngzài yánjiū èryǎnghuàtàn de páifàng.】
This laboratory is researching the emission of carbon dioxide.";"♻❈ 二氧化碳是一种温室气体。";"【èryǎnghuàtàn shì yīzhǒng wēnshì qìtǐ.】
Carbon dioxide is a greenhouse gas.";"♻❈ 二氧化碳的排放量越来越多。";"【èryǎnghuàtàn de páifàngliàng yuèláiyuè duō.】
The emission of carbon dioxide is increasing.";"♻❈ 我们应该减少二氧化碳的排放。";"【wǒmen yīnggāi jiǎnshǎo èryǎnghuàtàn de páifàng.】
We should reduce the emission of carbon dioxide.";"♻🐇 魏无羡：植物吸收二氧化碳，释放氧气。";"【wèiwúxiàn ： zhíwù xīshōu èryǎnghuàtàn, shìfàng yǎngqì.】
Wei Wuxian: Plants absorb carbon dioxide and release oxygen.";"♻🐇 蓝忘机：二氧化碳是温室效应的主要原因之一。";"【lánwàngjī ： èryǎnghuàtàn shì wēnshìxiàoyìng de zhǔyào yuányīn zhīyī.】
Lan Wangji: Carbon dioxide is one of the main causes of the greenhouse effect.";"♻🐇 蓝忘机每天晚上都会预习第二天的琴谱。";"【lánwàngjī měitiānwǎnshàng dōu huì yùxí dìèrtiān de qínpǔ.】
Lan Wangji previews the music scores for the next day every night."

"三⠀";"sān";"three; 3";"三 (three)";"There are no other HSK words in this level (or before) using this character.";"❈ 三是一个奇数。";"【sānshì yīgè jīshù.】
Three is an odd number.";"❈ 她有三个孩子。";"【tā yǒu sānge háizi.】
She has three children.";"❈ 这个数字是三。";"【zhège shùzì shì sān.】
This number is three.";"🐇 蓝忘机的房间号码是三号。";"【lánwàngjī de fángjiān hàomǎ shì sānhào.】
Lan Wangji's room number is three.";"🐇 温情的手术总是三小时内完成，效率极高。";"【wēnqíng de shǒushù zǒngshì sān xiǎoshí nèi wánchéng, xiàolǜ jígāo.】
Wen Qing's surgeries are always completed within three hours, very efficient.";"♻❈ 请在三天以内完成这项工作。";"【qǐng zài sāntiān yǐnèi wánchéng zhèxiàng gōngzuò.】
Please complete this task within three days.";"♻❈ 她烤的三文鱼非常美味。";"【tā kǎo de sānwényú fēicháng měiwèi.】
The salmon she grilled is very delicious.";"♻❈ 我喜欢吃三文鱼寿司。";"【wǒ xǐhuan chī sānwényú shòusī.】
I like to eat salmon sushi.";"♻❈ 三文鱼是一种很健康的食材。";"【sānwényú shì yīzhǒng hěn jiànkāng de shícái.】
Salmon is a very healthy ingredient.";"♻❈ 这家餐厅的三文鱼做得非常美味。";"【zhèjiā cāntīng de sānwényú zuò dé fēicháng měiwèi.】
The salmon in this restaurant is very delicious."

"四⠀";"sì";"four; 4";"四 (four)";"There are no other HSK words in this level (or before) using this character.";"❈ 她四岁的时候学会了游泳。";"【tā sìsuì de shíhou xuéhuì le yóuyǒng.】
She learned to swim when she was four years old.";"❈ 四是一个偶数。";"【sìshì yīgè ǒushù.】
Four is an even number.";"❈ 这个正方形有四条边。";"【zhège zhèngfāngxíng yǒu sìtiáo biān.】
This square has four sides.";"🐇 金凌的剑法分为四式，每一式都极为精妙。";"【jīnlíng de jiànfǎ fēnwéi sì shì, měiyīshì dōu jíwéi jīngmiào.】
Jin Ling's swordsmanship is divided into four styles, each of which is extremely exquisite.";"🐇 魏无羡和江澄一起度过了四个春秋。";"【wèiwúxiàn hé jiāngchéng yīqǐ dùguò le sìge chūnqiū.】
Wei Wuxian and Jiang Cheng spent four seasons together.";"♻🐇 蓝忘机警惕地看着四周，寻找潜在的危险。";"【lánwàngjī jǐngtì dì kànzhe sìzhōu, xúnzhǎo qiánzài de wēixiǎn.】
Lan Wangji vigilantly looks around, searching for potential danger.";"♻🐇 魏无羡的敌人遍布五湖四海。";"【wèiwúxiàn de dírén biànbù wǔhúsìhǎi.】
Wei Wuxian's enemies are everywhere.";"♻🐇 温情的医术迅速传播开来，受益者遍布四方。";"【wēnqíng de yīshù xùnsù chuánbō kāilái, shòuyìzhě biànbù sìfāng.】
Wen Qing's medical skills spread rapidly, benefiting people far and wide.";"♻🐇 魏无羡来到了一个陌生的地方，四处张望。";"【wèiwúxiàn láidào le yīgè mòshēng de dìfāng, sìchùzhāngwàng.】
Wei Wuxian arrived at a strange place and looked around.";"♻🐇 金凌为了找到失散的小狗四处奔波。";"【jīnlíng wèile zhǎodào shīsàn de xiǎogǒu sìchùbēnbō.】
Jin Ling runs around everywhere to find the lost puppy.";"♻🐇 江澄为了找到姐姐，四处奔波。";"【jiāngchéng wèile zhǎodào jiějie, sìchùbēnbō.】
Jiang Cheng travels around to find his sister.";"♻🐇 江澄的粗心让他经常丢三落四，但他总能找到失物。";"【jiāngchéng de cūxīn ràng tā jīngcháng diūsānlàsì, dàn tā zǒngnéng zhǎodào shīwù.】
Jiang Cheng's thoughtlessness often makes him lose things, but he always manages to find them."
