"唉⠀";"āi";"alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，这件事真让人伤心。";"【āi, zhèjiàn shì zhēnràngrén shāngxīn.】
Alas, this is really heartbreaking.";"❈ 唉，这个消息真让人难过。";"【āi, zhège xiāoxi zhēnràngrén nánguò.】
Alas, this news is really sad.";"❈ 唉，我真的不知道该怎么办。";"【āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.】
Oh dear, I really don't know what to do.";"🐇 唉，魏无羡又惹祸了。";"【āi, wèiwúxiàn yòu rěhuò le.】
Alas, Wei Wuxian has caused trouble again.";"🐇 唉，这世上怎么会有如此狡诈的人。";"【āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.】
Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"compassion; kindness; care for others; love; CL:片[piàn]; charity (bazaar, golf day etc); heart (the symbol ♥)";"related words";"爱心 (àixīn)
This word refers to compassion, kindness, or a loving heart. It is often used in the context of charitable or benevolent actions.
同情 (tóngqíng)
This word specifically refers to sympathy or empathy towards someone who is experiencing hardship or suffering.
恋爱 (liàn'ài)
This word specifically refers to romantic love or being in a romantic relationship.
爱 (ài)
General term for love, applicable in various contexts, including romantic, familial, or platonic love.
爱情 (àiqíng)
Specifically refers to romantic love or the emotion of love in a romantic relationship.
喜欢 (xǐhuān)
More casual, expressing liking or fondness; used in various relationships, such as friendships or preferences.
In summary, 爱心 (àixīn) refers to compassion or kindness, while 同情 (tóngqíng) specifically refers to sympathy. 恋爱 (liàn'ài) and 爱情 (àiqíng) specifically refer to romantic love, while 爱 (ài) is a general term for love. 喜欢 (xǐhuān) is more casual and expresses liking or fondness.";"爱 (love)";"Other words using this character: 爱情 (àiqíng; romance); 爱 (ài; love); 亲爱 (qīn’ài; dear); 热爱 (rè’ài; love ardently); 爱护 (àihù; cherish); 爱惜 (àixī; cherish); 恋爱 (liàn’ài; love); 疼爱 (téng’ài; love dearly); 爱好 (àihào; hobby); 可爱 (kě’ài; adorable)";"心 (heart)";"Other words using this character: 粗心 (cūxīn; careless); 开心 (kāixīn; happy); 耐心 (nàixīn; patience); 伤心 (shāngxīn; grieve); 心情 (xīnqíng; mood); 信心 (xìnxīn; confidence); 灰心 (huīxīn; lose heart); 热心 (rèxīn; enthusiastic); 心理 (xīnlǐ; psychology); 心脏 (xīnzàng; heart); 虚心 (xūxīn; humble); 专心 (zhuānxīn; focus); 操心 (cāoxīn; worry about); 当心 (dāngxīn; take care); 点心 (diǎnxin; pastry); 核心 (héxīn; core); 决心 (juéxīn; determination); 中心 (zhōngxīn; center); 担心 (dānxīn; worried); 放心 (fàngxīn; reassured); 关心 (guānxīn; concerned); 小心 (xiǎoxīn; careful)";"❈ 她的爱心感动了很多人。";"【tā de àixīn gǎndòng le hěnduō rén.】
Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"【zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.】
This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"【sòng yīkē àixīn gěi xūyào bāngzhù de rén.】
Send a heart to those in need of help.";"🐇 魏无羡对待每个人都充满爱心。";"【wèiwúxiàn duìdài měige rén dōu chōngmǎn àixīn.】
Wei Wuxian treats everyone with compassion.";"🐇 蓝曦臣的爱心感染了很多人，让他们感受到温暖。";"【lánxīchén de àixīn gǎnrǎn le hěnduō rén, ràng tāmen gǎnshòu dào wēnnuǎn.】
Lan Xichen's kindness has infected many people, making them feel warm.";"♻🐇 温情对待病人需要有耐心和爱心。";"【wēnqíng duìdài bìngrén xūyào yǒu nàixīn hé àixīn.】
Treating patients requires patience and compassion.";"♻❈ 这个组织一直在宣扬爱心和关爱。";"【zhège zǔzhī yīzhí zài xuānyáng àixīn hé guānài.】
This organization has been promoting love and care.";"♻❈ 她是一个富有爱心的人。";"【tā shì yīgè fùyǒu àixīn de rén.】
She is a person rich in love.";"♻❈ 我们应该奉献爱心去帮助那些需要帮助的人。";"【wǒmen yīnggāi fèngxiàn àixīn qù bāngzhù nàxiē xūyào bāngzhù de rén.】
We should dedicate our love to help those in need.";"♻🐇 魏无羡被人误解为魔鬼，实际上他是个有爱心的人。";"【wèiwúxiàn bèi rén wùjiě wéi móguǐ, shíjìshàng tā shì gè yǒu àixīn de rén.】
Wei Wuxian is misunderstood as a devil, but in reality, he is a compassionate person.";"♻🐇 魏无羡用四根葱给晚晴做了一道爱心料理。";"【wèiwúxiànyòng sìgēn cōng gěi wǎnqíng zuò le yīdào àixīn liàolǐ.】
Wei Wuxian used four green onions to make a heartwarming dish for Wen Qing."
